,High,Low,Open,Close,Volume
2024/4/23,44000000,41111111,41111111,44000000,17
2024/4/24,42222222,41000000,42000000,41000000,15
2024/4/25,54255550,39999999,41855555,41800000,30
2024/4/26,54255550,41111111,41700000,41600000,12
2024/4/27,52000000,40000000,41000000,47111100,77
2024/4/28,47100000,40000000,47099998,45999998,33
2024/4/30,46665555,45000000,46665555,46644444,7
2024/5/1,47100000,42222222,45988888,46499999,37
2024/5/2,47999999,45000000,46658888,46666666,32
2024/5/3,47555554,45888888,47099998,45888888,31
2024/5/4,79999998,45000000,47555444,79999998,41
2024/5/5,79998888,48888886,79998888,55555555,47
2024/5/6,55555555,55550000,55555554,55554999,10
2024/5/7,64444444,50000000,55554998,55554997,11
2024/5/8,55554998,55000000,55554444,55544444,11
2024/5/9,79998888,54999999,55554443,79998888,12
2024/5/10,79999999,52222222,52222222,55522222,22
2024/5/11,55490000,49999999,55000000,49999999,15
2024/5/12,55554997,51855555,55000000,55422222,25
2024/5/13,55488888,54333333,55422200,54888111,25
2024/5/16,65533328,62888888,65533328,64999999,19
2024/5/17,62999999,61111111,61111111,62998888,9
2024/5/18,66666666,55555555,55555555,62000000,13
2024/5/19,66666666,60000000,66666666,65533233,32
2024/5/20,72000000,62222222,62222222,68888888,18
2024/5/21,68888888,66006666,68888888,66669999,7
2024/5/22,66666666,65555555,66666666,65555555,10
2024/5/23,68888888,61111111,63000000,63999999,16
2024/5/24,63999899,60000000,63999899,60000000,4
2024/5/25,63888888,63111111,63888088,63888888,5
2024/5/26,63808888,62222222,63805555,62222222,12
2024/5/27,63777777,62888887,63777777,62888888,28
2024/5/28,62888887,55555555,62888887,60000000,14
2024/5/29,62888887,62488888,62888887,62488888,33
2024/5/30,66000000,55555555,62499899,66000000,12
2024/5/31,68888888,61888888,62888887,62555555,18
2024/6/1,88888888,59999999,62880888,62555555,6
2024/6/2,62488888,59999999,59999999,62488888,5
2024/6/3,62488887,61111111,61111111,61999999,7
2024/6/4,62000000,60000000,62000000,61988888,4
2024/6/5,61799999,30000000,30000000,61799999,7
2024/6/6,61999999,61000000,61888888,61999999,31
2024/6/7,61888088,61888088,61888088,61888088,1
2024/6/8,61888888,61500000,61888888,61555555,17
2024/6/9,88888888,57888888,61552222,57998999,163
2024/6/10,58555555,57666666,58555555,57877777,11
2024/6/11,57888888,47888886,57800000,55000000,56
2024/6/12,57555555,55555555,57432222,56606666,26
2024/6/13,56666666,55000000,56606666,56666666,8
2024/6/14,59823000,55000000,55888088,55880000,17
2024/6/15,55887777,54444444,54444444,55887777,3
2024/6/16,55888887,55880000,55888887,55880000,5
2024/6/17,66666666,49999999,55877777,58388887,20
2024/6/18,55880888,53333033,55880888,53333033,2
2024/6/19,58900000,52222002,52222222,58900000,11
2024/6/20,58585858,52202222,52202222,58579999,23
2024/6/21,58580000,58578868,58578868,58580000,7
2024/6/22,58585856,58500000,58500000,58580806,6
2024/6/23,58580808,58000000,58580807,58433333,12
2024/6/24,58444444,58399999,58444444,58399999,7
2024/6/25,58388888,56000000,58388888,58070000,7
2024/6/26,58064444,58064444,58064444,58064444,1
2024/6/28,61554444,55000000,61554444,58888888,27
2024/6/29,58433332,57888800,58433332,58331000,19
2024/6/30,62000000,56666666,58078855,58000000,58
2024/7/1,57877000,55000000,57874444,55000000,14
