,High,Low,Open,Close,Volume
2024/3/25,293554444,276999998,281000000,276999998,17
2024/3/26,276999998,276999997,276999997,276999998,8
2024/3/27,276999996,276999996,276999996,276999996,1
2024/3/28,333333333,272222222,276888888,333333333,6
2024/3/29,279999999,273222200,273333333,273222200,9
2024/3/30,273222199,266666666,270000000,273222199,42
2024/3/31,272222000,271111111,271111111,272222000,2
2024/4/1,273221111,272222222,273221100,273221111,15
2024/4/3,273221109,272999000,273111111,272999000,11
2024/4/4,272999900,272999900,272999900,272999900,2
2024/4/5,299999999,266666665,266666666,271110000,18
2024/4/8,271110000,200000000,269999999,271110000,22
2024/4/9,270999997,270000000,270000000,270999997,5
2024/4/10,233333333,233333333,233333333,233333333,1
2024/4/11,269999999,269999995,269999999,269999995,4
2024/4/12,268888887,268888887,268888887,268888887,2
2024/4/13,271000000,260000000,268888885,260000000,23
2024/4/14,268888883,268888883,268888883,268888883,2
2024/4/15,265555554,265555554,265555554,265555554,3
2024/4/18,258888888,255555554,258888888,255555554,24
2024/4/19,250000000,250000000,250000000,250000000,6
2024/4/20,255555442,255554411,255554411,255555442,10
2024/4/21,250000000,250000000,250000000,250000000,3
2024/4/22,255555555,253322222,253349999,255555444,99
2024/4/23,269899999,251111111,269899999,251111111,20
2024/4/25,255511111,245555555,245555555,255511111,56
2024/4/26,266066600,254444444,260000000,266066600,5
2024/4/27,260000000,260000000,260000000,260000000,5
2024/4/28,266000000,250000000,265666666,250000000,43
2024/4/29,279999999,255000000,255000000,259666666,81
2024/4/30,265699999,265699999,265699999,265699999,1
2024/5/1,263355333,263355333,263355333,263355333,1
2024/5/2,261111111,261111111,261111111,261111111,1
2024/5/4,262111111,256999998,256999998,262111111,141
2024/5/5,322221111,260000000,264444444,269999999,60
2024/5/6,265555555,265355555,265555555,265355555,5
2024/5/7,263000000,262888888,263000000,262888888,14
2024/5/8,262688888,262688888,262688888,262688888,1
2024/5/9,255555555,255555555,255555555,255555555,23
2024/5/10,259000000,259000000,259000000,259000000,10
2024/5/12,258888888,255555555,258888888,255555555,28
2024/5/13,257999999,257999999,257999999,257999999,1
2024/5/14,257000000,257000000,257000000,257000000,10
2024/5/15,249911111,248888888,248888888,249911111,16
2024/5/17,255555555,255555555,255555555,255555555,30
2024/5/18,255555554,255555550,255555550,255555554,13
